
---------- Begin Simulation Statistics ----------
sim_seconds                                  4.976971                       # Number of seconds simulated
sim_ticks                                4976970501213                       # Number of ticks simulated
final_tick                               24962071861080                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 111763                       # Simulator instruction rate (inst/s)
host_op_rate                                   111763                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                              463533615                       # Simulator tick rate (ticks/s)
host_mem_usage                                2453664                       # Number of bytes of host memory used
host_seconds                                 10737.02                       # Real time elapsed on the host
sim_insts                                  1200000007                       # Number of instructions simulated
sim_ops                                    1200000007                       # Number of ops (including micro ops) simulated
system.voltage_domain.voltage                       1                       # Voltage in Volts
system.clk_domain.clock                          1000                       # Clock period in ticks
system.mem_ctrls0.pwrStateResidencyTicks::UNDEFINED 24962071861080                       # Cumulative time (in ticks) in various power states
system.mem_ctrls0.bytes_read::cpu.inst             64                       # Number of bytes read from this memory
system.mem_ctrls0.bytes_read::cpu.data             64                       # Number of bytes read from this memory
system.mem_ctrls0.bytes_read::switch_cpus.inst         1152                       # Number of bytes read from this memory
system.mem_ctrls0.bytes_read::switch_cpus.data    950024000                       # Number of bytes read from this memory
system.mem_ctrls0.bytes_read::switch_cpus_1.data    193945216                       # Number of bytes read from this memory
system.mem_ctrls0.bytes_read::total        1143970496                       # Number of bytes read from this memory
system.mem_ctrls0.bytes_inst_read::cpu.inst           64                       # Number of instructions bytes read from this memory
system.mem_ctrls0.bytes_inst_read::switch_cpus.inst         1152                       # Number of instructions bytes read from this memory
system.mem_ctrls0.bytes_inst_read::total         1216                       # Number of instructions bytes read from this memory
system.mem_ctrls0.bytes_written::writebacks    837235072                       # Number of bytes written to this memory
system.mem_ctrls0.bytes_written::total      837235072                       # Number of bytes written to this memory
system.mem_ctrls0.num_reads::cpu.inst               1                       # Number of read requests responded to by this memory
system.mem_ctrls0.num_reads::cpu.data               1                       # Number of read requests responded to by this memory
system.mem_ctrls0.num_reads::switch_cpus.inst           18                       # Number of read requests responded to by this memory
system.mem_ctrls0.num_reads::switch_cpus.data     14844125                       # Number of read requests responded to by this memory
system.mem_ctrls0.num_reads::switch_cpus_1.data      3030394                       # Number of read requests responded to by this memory
system.mem_ctrls0.num_reads::total           17874539                       # Number of read requests responded to by this memory
system.mem_ctrls0.num_writes::writebacks     13081798                       # Number of write requests responded to by this memory
system.mem_ctrls0.num_writes::total          13081798                       # Number of write requests responded to by this memory
system.mem_ctrls0.bw_read::cpu.inst                13                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls0.bw_read::cpu.data                13                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls0.bw_read::switch_cpus.inst          231                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls0.bw_read::switch_cpus.data    190883993                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls0.bw_read::switch_cpus_1.data     38968528                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls0.bw_read::total            229852778                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls0.bw_inst_read::cpu.inst           13                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls0.bw_inst_read::switch_cpus.inst          231                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls0.bw_inst_read::total             244                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls0.bw_write::writebacks      168221827                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls0.bw_write::total           168221827                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls0.bw_total::writebacks      168221827                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.bw_total::cpu.inst               13                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.bw_total::cpu.data               13                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.bw_total::switch_cpus.inst          231                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.bw_total::switch_cpus.data    190883993                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.bw_total::switch_cpus_1.data     38968528                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.bw_total::total           398074605                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.readReqs                   17874540                       # Number of read requests accepted
system.mem_ctrls0.writeReqs                  13081798                       # Number of write requests accepted
system.mem_ctrls0.readBursts                 17874540                       # Number of DRAM read bursts, including those serviced by the write queue
system.mem_ctrls0.writeBursts                13081798                       # Number of DRAM write bursts, including those merged in the write queue
system.mem_ctrls0.bytesReadDRAM            1143970496                       # Total number of bytes read from DRAM
system.mem_ctrls0.bytesReadWrQ                      0                       # Total number of bytes read from write queue
system.mem_ctrls0.bytesWritten              837233472                       # Total number of bytes written to DRAM
system.mem_ctrls0.bytesReadSys             1143970560                       # Total read bytes from the system interface side
system.mem_ctrls0.bytesWrittenSys           837235072                       # Total written bytes from the system interface side
system.mem_ctrls0.servicedByWrQ                     0                       # Number of DRAM read bursts serviced by the write queue
system.mem_ctrls0.mergedWrBursts                    0                       # Number of DRAM write bursts merged with an existing one
system.mem_ctrls0.neitherReadNorWriteReqs            0                       # Number of requests that are neither read nor write
system.mem_ctrls0.perBankRdBursts::0          1117325                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::1          1109416                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::2          1124274                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::3          1123018                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::4          1122709                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::5          1115002                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::6          1119332                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::7          1131155                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::8          1124529                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::9          1118017                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::10         1111454                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::11         1107554                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::12         1105021                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::13         1117176                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::14         1110407                       # Per bank write bursts
system.mem_ctrls0.perBankRdBursts::15         1118150                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::0           818165                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::1           810161                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::2           824894                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::3           823524                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::4           823169                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::5           815235                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::6           819488                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::7           831291                       # Per bank write bursts
system.mem_ctrls0.perBankWrBursts::8           824617                       # Per bank write bursts
